NumEdo,Estado,Poptotal,Hombre,Mujer
01,Aguascalientes,1184996,576638,608358
02,Baja California,3155070,1591610,1563460
03,Baja California Sur,637026,325433,311593
04,Campeche,822441,407721,41472
05,Coahuila de Zaragoza,2748391,1364197,1384194
06,Colima,650555,32279,327765
07,Chiapas,4796580,2352807,2443773
08,Chihuahua,3406465,1692545,1713920
09,Distrito Federal,8851080,4233783,4617297
10,Durango,1632934,80389,829044
11,Guanajuato,5486372,2639425,2846947
12,Guerrero,3388768,1645561,1743207
13,Hidalgo,2665018,1285222,1379796
14,Jalisco,7350682,3600641,3750041
15,Mexico,15175862,7396986,7778876
16,Michoacan de Ocampo,4351037,2102109,2248928
17,Morelos,1777227,858588,918639
18,Nayarit,1084979,541007,543972
19,Nuevo Leon,4653458,2320185,2333273
20,Oaxaca,3801962,1819008,1982954
21,Puebla,5779829,2769855,3009974
22,Queretaro,1827937,887188,940749
23,Quintana Roo,1325578,67322,652358
24,San Luis Potosi,2585518,1260366,1325152
25,Sinaloa,2767761,1376201,1391560
26,Sonora,2662480,1339612,1322868
27,Tabasco,2238603,1100758,1137845
28,Tamaulipas,3268554,1616201,1652353
29,Tlaxcala,1169936,565775,604161
30,Veracruz de Ignacio de la Llave,7643194,3695679,3947515
31,Yucatan,1955577,963333,992244
32,Zacatecas,1490668,726897,763771
